,Tourist Sites,Near_T_Hub,Trans_Dist,Near_GP,GP_Dist,PostCode
20,CHURCH HILL,Newcastle Bus Station,2.29,Dr. LEGGETT & PARTNERS              ,2.55,BT33 0AE
21,GARDENVALE,Ballymoney Rail Station,10.47,Dr. STERNE & PARTNERS               ,3.58,BT53 8TY
22,CORICK,Omagh Bus Station,21.7,Dr. POTTER & PARTNERS               ,9.8,BT70 2EY
23,"SPUR ROYAL, AUGHER CASTLE",Omagh Bus Station,21.87,Dr. POTTER & PARTNERS               ,8.41,BT70 2EY
24,KILLYBRICK HOUSE,Dungannon Bus Station,20.63,Dr. POTTER & PARTNERS               ,5.07,BT70 2EY
25,MARTRAY HOUSE,Dungannon Bus Station,15.77,Dr. POTTER & PARTNERS               ,1.35,BT70 2EY
26,LEARMOUNT,L'Derry Rail Station,19.75,Dr. KNOX & PARTNER                  ,5.93,BT47 4TD
27,KNOCKAN AND ASH PARK,Limavady Bus Station,17.36,Dr. KNOX & PARTNER                  ,2.23,BT47 4TD
28,MALONE HOUSE (BARNETT DEMESNE),Belfast - Balmoral Rail Halt,2.02,Dr. ROWNEY & PARTNERS               ,1.9,BT10 0BX
29,ANTRIM CASTLE GARDENS,Antrim Bus Station,0.78,Dr. THOMPSON & PARTNERS             ,0.68,BT11 9FZ
30,THE STEEPLE,Antrim Rail Station,0.72,Dr. THOMPSON & PARTNERS             ,0.69,BT11 9FZ
31,"THE MANOR HOUSE, BENBURB",Armagh Bus Station,8.92,Dr. CAMPBELL & PARTNER              ,5.34,BT12 4HL
32,ARDRESS,Portadown Rail Station,9.54,Dr. CAMPBELL & PARTNER              ,6.47,BT12 4HL
33,THE ARGORY,Dungannon Bus Station,8.98,Dr. CAMPBELL & PARTNER              ,2.9,BT12 4HL
34,SUMMER ISLAND,Armagh Bus Station,9.08,Dr. CAMPBELL & PARTNER              ,3.3,BT12 4HL
35,DUNVILLE PARK,Belfast - Europa/Gvs,1.11,Dr. DONAGHY & PARTNERS              ,0.14,BT12 4LP
36,BROOKFIELD HOUSE,Banbridge Bus Station,1.3,Dr. MCCLOSKEY & PARTNERS            ,0.85,BT12 5LT
37,FALLS PARK,Belfast - Adelaide Rail Halt,1.92,Dr. COLGAN                          ,0.88,BT12 6DD
38,DRUM MANOR (OAKLANDS),Cookstown Bus Station,5.43,Dr. JOHNSTON & PARTNERS             ,4.4,BT53 6HB
39,LISSAN,Cookstown Bus Station,4.16,Dr. JOHNSTON & PARTNERS             ,3.7,BT53 6HB
40,HILL MOUNT,Ballymena Bus Station,6.8,Dr. JOHNSTON & PARTNERS             ,1.74,BT53 6HB
41,BENVARDEN,Ballymoney Rail Station,7.67,Dr. JOHNSTON & PARTNERS             ,6.96,BT53 6HB
42,CRAIGDUN,Ballymena Bus Station,7.62,Dr. JOHNSTON & PARTNERS             ,2.66,BT53 6HB
43,O HARABROOK,Ballymoney Rail Station,2.47,Dr. FANNIN & PARTNERS               ,3.2,BT53 6HH
44,LESLIE HILL,Ballymoney Rail Station,1.79,Dr. FANNIN & PARTNERS               ,2.16,BT53 6HH
45,MOORE FORT,Ballymoney Rail Station,4.28,Dr. FANNIN & PARTNERS               ,4.81,BT53 6HH
46,LIZARD MANOR,Ballymoney Rail Station,7.31,Dr. FANNIN & PARTNERS               ,8.01,BT53 6HH
47,CLANDEBOYE,Bangor West Rail Halt,2.84,Dr. HOWE & PARTNERS                 ,2.34,BT20 3EB
48,BANGOR CASTLE,Bangor Bus & Rail,0.46,Dr. HAYES & PARTNERS                ,0.35,BT20 4LD
49,CRAWFORDSBURN HOUSE,Helen'S Bay Rail Halt,0.9,Dr. HAYES & PARTNERS                ,3.61,BT20 4LD
50,CASTLEWARD,Downpatrick Bus Station,10.14,Dr. DOYLE & PARTNERS                ,2.87,BT20 4LD
51,PORTAFERRY HOUSE,Downpatrick Bus Station,13.16,Dr. DOYLE & PARTNERS                ,1.04,BT20 4LD
52,BALLYWHITE HOUSE,Downpatrick Bus Station,13.28,Dr. DOYLE & PARTNERS                ,2.58,BT20 4LD
53,QUINTIN CASTLE,Downpatrick Bus Station,15.99,Dr. DOYLE & PARTNERS                ,3.54,BT20 4LD
54,GLENGANAGH,Bangor Bus & Rail,2.93,Dr. CRAIG & PARTNER                 ,0.73,BT20 5PE
55,DONAGHADEE MANOR,Bangor Bus & Rail,9.06,Dr. HISCOCKS & PARTNERS             ,0.07,BT21 0BU
56,CASTLEWARD,Downpatrick Bus Station,10.14,Dr. DOYLE & PARTNERS                ,2.87,BT22 1QT
57,PORTAFERRY HOUSE,Downpatrick Bus Station,13.16,Dr. DOYLE & PARTNERS                ,1.04,BT22 1QT
58,BALLYWHITE HOUSE,Downpatrick Bus Station,13.28,Dr. DOYLE & PARTNERS                ,2.58,BT22 1QT
59,QUINTIN CASTLE,Downpatrick Bus Station,15.99,Dr. DOYLE & PARTNERS                ,3.54,BT22 1QT
60,BELLEVUE (BELFAST ZOO),Whiteabbey Rail Halt,3.06,Dr. MEENAN & PARTNERS               ,1.61,BT37 9UH
61,TYNAN ABBEY,Armagh Bus Station,12.1,Dr. CARLILE & PARTNERS              ,1.0,BT60 4QT
62,CALEDON,Armagh Bus Station,12.82,Dr. CARLILE & PARTNERS              ,1.81,BT60 4QT
63,FELLOWS HALL,Armagh Bus Station,8.72,Dr. CARLILE & PARTNERS              ,2.58,BT60 4QT
64,DARTON HALL,Armagh Bus Station,8.57,Dr. CARLILE & PARTNERS              ,2.82,BT60 4QT
65,THE PALACE (ARMAGH),Armagh Bus Station,1.45,Dr. MARSHALL & PARTNERS             ,0.82,BT61 7QG
66,THE MALL (ARMAGH),Armagh Bus Station,0.33,Dr. MARSHALL & PARTNERS             ,0.44,BT61 7QG
67,DEANS HILL,Armagh Bus Station,0.84,Dr. MARSHALL & PARTNERS             ,1.26,BT61 7QG
68,THE OBSERVATORY (ARMAGH),Armagh Bus Station,0.36,Dr. MARSHALL & PARTNERS             ,0.88,BT61 7QG
69,UMGOLA,Armagh Bus Station,1.59,Dr. MARSHALL & PARTNERS             ,1.21,BT61 7QG
70,LOUGHGALL MANOR HOUSE,Armagh Bus Station,7.12,Dr. MURTAGH & PARTNERS,4.69,BT61 9PD
71,CASTLE DILLON,Armagh Bus Station,3.78,Dr. MURTAGH & PARTNERS,3.54,BT61 9PD
72,HOCKLEY LODGE,Armagh Bus Station,5.18,Dr. MURTAGH & PARTNERS,2.44,BT61 9PD
73,TANDRAGEE CASTLE,Scarva Rail Halt,4.44,Dr. PICKERING & PARTNER             ,0.74,BT62 2AN
